父亲职业,父亲工作,母亲职业,母亲工作
事业单位,中铁六局太原铁路建设公司,民企,鑫智点交通设施有限公司
民企,凯信会议服务有限公司,民企,长城国际旅行社有限责任公司
民企,银光聚银化工有限公司,个体,九亩花田蛋糕店
民企,元拓科技咨询有限公司,事业单位,中国平安财险股份有限公司
事业单位,市广播电视大学,公务员,市实验中学
公务员,"市经济合作局
",公务员,"县住房保障中心
"
民企,区建豪汽修中心,家庭劳动,家庭主妇
民企,区建豪汽修中心,家庭劳动,家庭主妇
公务员,陕西省水利水电第三工程局,事业单位,二十一冶
民企,渭源陇原恒新畜牧科技有限公司,公务员,XX路街道诚信社区
公务员,市民政局,事业单位,矿冶职业技术学院
个体,北京路九洋菜市场刘伟鲜面店,个体,北京路九洋菜市场刘伟鲜面店
事业单位,市第一人民医院,公务员,公路应急保障与路网监测中心
公务员,市农业农村局,公务员,市委编办
个体,老姐饺子馆,,
个体,大市场清华电动工具,家庭劳动,家庭主妇
公务员,市统计局,个体,个体
民企,盛泰房地产公司,家庭劳动,家庭主妇
民企,盛泰房地产公司,家庭劳动,家庭主妇
民企,县瑞金路锦辉消防工程有限公司,家庭劳动,家庭主妇
事业单位,市农业综合行政执法队,民企,宏信房地资产评估公司
民企,大禹工程咨询有限公司,公务员,纺织路街道办
公务员,市中级人民法院,事业单位,农行XXX县支行
家庭劳动,家庭父亲,公务员,白银区公园路街道办事处
公务员,市旅游局,民企,大自然旅行社
民企,陇风巢浴,民企,凤巢浴足
公务员,XXX镇政府,民企,美年大健康有限公司
公务员,市团委,公务员,区应急管理局
个体,万盛体能拓展中心鑫多米便利店,个体,北门流觞烟酒
公务员,市公安局,公务员,区人民法院
家庭劳动,家庭父母,家庭劳动,家庭父母
公务员,公安局,事业单位,市给排水（集团）有限公司
事业单位,西区管委会,公务员,市人社局
公务员,市住建局,公务员,市科学技术局
公务员,XXX建设局,公务员,区住建局 
民企,银中源工贸有限公司,家庭劳动,家庭主妇
民企,广东省中海油,家庭劳动,家庭主妇
个体,娟红杂粮食府,民企,娟红杂粮食府
事业单位,市政管理处,事业单位,区妇幼保健站
事业单位,中国兵器工业公司三冶炼,,无
民企,万民工程建设有限公司,个体,新疆省和田市个体药店
公务员,市公安局,事业单位,省第三人民医院
公务员,省监狱局,公务员,区人民法院
家庭劳动,家庭主妇,家庭劳动,家庭主妇
民企,江苏路之久工程建设有限公司,家庭劳动,家庭主妇
公务员,市财政局,公务员,市教育局
公务员,市财政局,事业单位,泰安学校教职工
民企,瑞禾农资,公务员,市委统战部
公务员,市纪委,公务员,市公安局交警支队
公务员,市委办,公务员,市审计局
事业单位,第十一中学北侧校园书店,民企,顶新文化公司
民企,长通公司,事业单位,市育才学校
公务员,市住建局,事业单位,区融媒体中心
